ANSWER_ID,偏移量,学生音频,标准音频,标准数据,GROUPID,音准,原节奏评分,新节奏评分1,新节奏评分2,新节奏评分3,新节奏评分4,新节奏评分5,新节奏评分6,节奏,咬字
AE00045bc19ff84ab78ef110c8afbd75,36,audio/1.mp3,stand_audio/踏雪寻梅.mp3,stand_data/踏雪寻梅.txt,e947fdd1bb644599959404fd6819f754,64.95579141,69.56521739,28.48101266,28.48101266,74.6835443,76.47058824,0.736897474,1.580471626,78.79095883,76.79
AE0041baaca7474615ba0be52ea07961,23,audio/2.mp3,stand_audio/小步舞曲.mp3,stand_data/小步舞曲.txt,b1079547e6b54fdbad2a4fc975551e36,84.82261547,89.23076923,8.888888889,8.888888889,88.88888889,76.59574468,1.041190682,1.453111822,70.04484099,78.87
AE004f08fc3f5d4747948dde64fd7dc2,34,audio/3.mp3,stand_audio/踏浪.mp3,stand_data/踏浪.txt,350dd01e162e44bbbaea611e6602252b,78.24743311,82.35294118,38.11881188,38.11881188,61.88118812,66,2.259503443,2.004924279,84.42970671,69.52
AE0087e8a7e9dd47fc87637248d86189,39,audio/4.mp3,stand_audio/蜗牛与黄鹂鸟.mp3,stand_data/蜗牛与黄鹂鸟.txt,ec290adc837d4c55ba8611c1d23a2c90,63.15193194,89.88764045,20,25,8.75,5.660377358,1.722688377,1.20146745,69.69895616,76.87
AE0088fd2d4d20401d897f8f235eb281,34,audio/5.mp3,stand_audio/大海啊，故乡（人音版）.mp3,stand_data/大海啊，故乡（人音版）.txt,74a1f0ed0e064cf1a9dcec2a84433975,59.88014363,52.13675214,59.15492958,61.97183099,49.29577465,51.2195122,1.537130167,2.072588624,70.27495199,78.43
AE00ace018431f4b42b26e538d110e69,38,audio/6.mp3,stand_audio/牧歌.mp3,stand_data/牧歌.txt,aaf2a81b47f846b88adb6f5bff99dfff,45.9961794,33.78378378,43.42105263,44.73684211,35.52631579,19.17808219,1.529893753,2.127520736,58.44384764,53.48
AE00d7b4c4fae74f74a4f77e82d7b9fd,59,audio/7.mp3,stand_audio/中华人民共和国国歌.mp3,stand_data/中华人民共和国国歌.txt,77d6e212cff9450ba6271f45875d2a8f,63.82423379,71.68141593,46.03174603,46.03174603,69.84126984,74.62686567,1.701089073,1.360984814,71.56655052,61.73
AE00d9dcdc7030408f8a0236c45bfeff,90,audio/8.mp3,stand_audio/清晨.mp3,stand_data/清晨.txt,7af2b30a8bda4965a793d6cdf5cc9b7c,84.02022636,82.53968254,43.43434343,65.65656566,76.76767677,84.26966292,1.459478771,1.776956174,94.46127032,59.56
AE01094274cacd495386742f576a9c7f,45,audio/9.mp3,stand_audio/蜗牛与黄鹂鸟.mp3,stand_data/蜗牛与黄鹂鸟.txt,ec290adc837d4c55ba8611c1d23a2c90,74.56339123,82.02247191,8.75,12.5,22.5,32.5,0.72640145,1.557382252,86.2027871,53.25
AE010a488842854bc3b51f36b01e6171,47,audio/10.mp3,stand_audio/中华人民共和国国歌.mp3,stand_data/中华人民共和国国歌.txt,77d6e212cff9450ba6271f45875d2a8f,58.93298705,63.71681416,15.87301587,15.87301587,77.77777778,68.33333333,1.651643078,0.950160181,75.79338118,55.78
